Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score
70,160,1.4,1.0,1.5,2.5,0.0619343929852955,6.1934392985295545,7.5,750.0,480.0,3.25,52.49999999999999,2.8375,0.42500000000000004,53.0,0.1582109878835251
71,160,1.4,1.0,1.5,5.0,0.0728639917474065,7.2863991747406525,12.5,1250.0,288.0,2.4499999999999997,52.49999999999999,2.8375,0.34500000000000003,33.0,0.3670345172952899
72,160,1.4,1.0,1.5,10.0,0.0728639917474065,7.2863991747406525,22.5,2250.0,160.0,2.4499999999999997,52.49999999999999,2.8375,0.34500000000000003,33.0,0.3670345172952899
73,160,1.4,1.5,0.5,2.5,0.0385516408360199,3.8551640836019914,7.0,700.0,514.2857142857143,3.3999999999999995,44.99999999999999,2.825,0.44,56.0,0.12093023255813953
74,160,1.4,1.5,0.5,5.0,0.0453548715717881,4.535487157178812,12.0,1200.0,300.0,2.5999999999999996,44.99999999999999,2.825,0.36,36.0,0.3297537619699043
75,160,1.4,1.5,0.5,10.0,0.0453548715717881,4.535487157178812,22.0,2200.0,163.63636363636363,2.5999999999999996,44.99999999999999,2.825,0.36,36.0,0.3297537619699043
76,160,1.4,1.5,1.0,2.5,0.0619343929852955,6.1934392985295545,7.5,750.0,480.0,3.25,52.49999999999999,2.8375,0.42500000000000004,53.0,0.1582109878835251
77,160,1.4,1.5,1.0,5.0,0.0728639917474065,7.2863991747406525,12.5,1250.0,288.0,2.4499999999999997,52.49999999999999,2.8375,0.34500000000000003,33.0,0.3670345172952899
78,160,1.4,1.5,1.0,10.0,0.0728639917474065,7.2863991747406525,22.5,2250.0,160.0,2.4499999999999997,52.49999999999999,2.8375,0.34500000000000003,33.0,0.3670345172952899
79,160,1.4,1.5,1.5,2.5,0.0650311126345603,6.5031112634560335,8.0,800.0,450.0,3.3999999999999995,59.99999999999999,2.825,0.44,56.0,0.0930232558139535
80,160,1.4,1.5,1.5,5.0,0.0765071913347768,7.650719133477686,13.0,1300.0,276.9230769230769,2.5999999999999996,59.99999999999999,2.825,0.36,36.0,0.30184678522571823
81,160,1.4,1.5,1.5,10.0,0.0765071913347768,7.650719133477686,23.0,2300.0,156.52173913043478,2.5999999999999996,59.99999999999999,2.825,0.36,36.0,0.30184678522571823
82,200,0.6,0.5,0.5,2.5,0.0285676530613369,2.856765306133696,6.0,600.0,600.0,2.6,15.0,2.9250000000000003,0.36000000000000004,41.0,0.4851475473910496
83,200,0.6,0.5,0.5,5.0,0.0336090036015728,3.3609003601572893,11.0,1100.0,327.27272727272725,1.8,15.0,2.9250000000000003,0.28,21.0,0.6939710768028143
84,200,0.6,0.5,0.5,10.0,0.0336090036015728,3.3609003601572893,21.0,2100.0,171.42857142857142,1.8,15.0,2.9250000000000003,0.28,21.0,0.6939710768028143
85,200,0.6,0.5,1.0,2.5,0.0458948105190713,4.58948105190713,6.5,650.0,553.8461538461538,2.45,22.5,2.9375,0.34500000000000003,38.0,0.5224283027164354
86,200,0.6,0.5,1.0,5.0,0.0539938947283191,5.399389472831918,11.5,1150.0,313.0434782608696,1.65,22.5,2.9375,0.265,18.0,0.7312518321282002
87,200,0.6,0.5,1.0,10.0,0.0539938947283191,5.399389472831918,21.5,2150.0,167.4418604651163,1.65,22.5,2.9375,0.265,18.0,0.7312518321282002
88,200,0.6,0.5,1.5,2.5,0.0481895510450248,4.818955104502487,7.0,700.0,514.2857142857143,2.6,30.0,2.9250000000000003,0.36000000000000004,41.0,0.4572405706468636
89,200,0.6,0.5,1.5,5.0,0.0566935894647351,5.669358946473514,12.0,1200.0,300.0,1.8,30.0,2.9250000000000003,0.28,21.0,0.6660641000586283
90,200,0.6,0.5,1.5,10.0,0.0566935894647351,5.669358946473514,22.0,2200.0,163.63636363636363,1.8,30.0,2.9250000000000003,0.28,21.0,0.6660641000586283
91,200,0.6,1.0,0.5,2.5,0.0458948105190713,4.58948105190713,6.5,650.0,553.8461538461538,2.45,22.5,2.9375,0.34500000000000003,38.0,0.5224283027164354
