Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour
220,240,1.4,0.5,1.0,2.5,0.05201411858828082,5.201411858828082,6.5,650.0,553.8461538461538
221,240,1.4,0.5,1.0,5.0,0.06119308069209508,6.119308069209508,11.5,1150.0,313.04347826086956
222,240,1.4,0.5,1.0,10.0,0.06119308069209508,6.119308069209508,21.5,2150.0,167.4418604651163
223,240,1.4,0.5,1.5,2.5,0.05461482451769485,5.461482451769485,7.0,700.0,514.2857142857143
224,240,1.4,0.5,1.5,5.0,0.06425273472669983,6.425273472669983,12.0,1200.0,300.0
225,240,1.4,0.5,1.5,10.0,0.06425273472669983,6.425273472669983,22.0,2200.0,163.63636363636363
226,240,1.4,1.0,0.5,2.5,0.05201411858828082,5.201411858828082,6.5,650.0,553.8461538461538
227,240,1.4,1.0,0.5,5.0,0.06119308069209508,6.119308069209508,11.5,1150.0,313.04347826086956
228,240,1.4,1.0,0.5,10.0,0.06119308069209508,6.119308069209508,21.5,2150.0,167.4418604651163
229,240,1.4,1.0,1.0,2.5,0.08356227625000193,8.356227625000193,7.0,700.0,514.2857142857143
230,240,1.4,1.0,1.0,5.0,0.09830856029411991,9.830856029411992,12.0,1200.0,300.0
231,240,1.4,1.0,1.0,10.0,0.09830856029411991,9.830856029411992,22.0,2200.0,163.63636363636363
232,240,1.4,1.0,1.5,2.5,0.08774039006250202,8.774039006250202,7.5,750.0,480.0
233,240,1.4,1.0,1.5,5.0,0.10322398830882591,10.322398830882591,12.5,1250.0,288.0
234,240,1.4,1.0,1.5,10.0,0.10322398830882591,10.322398830882591,22.5,2250.0,160.0
235,240,1.4,1.5,0.5,2.5,0.05461482451769485,5.461482451769485,7.0,700.0,514.2857142857143
236,240,1.4,1.5,0.5,5.0,0.06425273472669983,6.425273472669983,12.0,1200.0,300.0
237,240,1.4,1.5,0.5,10.0,0.06425273472669983,6.425273472669983,22.0,2200.0,163.63636363636363
238,240,1.4,1.5,1.0,2.5,0.08774039006250202,8.774039006250202,7.5,750.0,480.0
239,240,1.4,1.5,1.0,5.0,0.10322398830882591,10.322398830882591,12.5,1250.0,288.0
240,240,1.4,1.5,1.0,10.0,0.10322398830882591,10.322398830882591,22.5,2250.0,160.0
241,240,1.4,1.5,1.5,2.5,0.09212740956562712,9.212740956562712,8.0,800.0,450.0
242,240,1.4,1.5,1.5,5.0,0.10838518772426721,10.83851877242672,13.0,1300.0,276.9230769230769
243,240,1.4,1.5,1.5,10.0,0.10838518772426721,10.83851877242672,23.0,2300.0,156.52173913043478
