Experiment,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Cycle_Time_s,Total_Process_Time_s,Relative_Throughput_cycles_per_hour,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Film_Quality_Score,Thickness_Error_%,Thickness_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Throughput_OK,Process_Qualified,Score_Thickness,Score_Uniformity,Score_Stress,Score_Density,Score_Roughness,Score_Defectivity,Score_Throughput,Optimization_Score
46,160,1.0,1.5,0.5,2.5,0.0444435962478124,4.444359624781242,7.0,700.0,514.2857142857143,2.9000000000000004,25.0,2.875,0.39,46.0,0.3384441567324602,55.55640375218758,False,False,True,False,False,False,True,False,0.27985259205185453,0.208333333333333,0.7906976744186046,0.285714285714285,0.2083333333333333,0.19607843137254902,0.8067226890756304,0.3546701703567847
47,160,1.0,1.5,0.5,5.0,0.0522865838209557,5.2286583820955785,12.0,1200.0,300.0,2.1,25.0,2.875,0.31,26.0,0.5472676861442249,47.713416179044216,False,False,True,False,False,False,True,False,0.38151696897161347,0.5416666666666665,0.7906976744186046,0.285714285714285,0.5416666666666667,0.5882352941176471,0.32352941176470584,0.47098262313014183
48,160,1.0,1.5,0.5,10.0,0.0522865838209557,5.2286583820955785,22.0,2200.0,163.63636363636363,2.1,25.0,2.875,0.31,26.0,0.5472676861442249,47.713416179044216,False,False,True,False,False,False,True,False,0.38151696897161347,0.5416666666666665,0.7906976744186046,0.285714285714285,0.5416666666666667,0.5882352941176471,0.01604278074866308,0.44023396002853754
49,160,1.0,1.5,1.0,2.5,0.0714,7.140000000000001,7.5,750.0,480.0,2.75,32.5,2.8875,0.375,43.0,0.3757249120578458,28.59999999999999,False,False,True,False,False,False,True,False,0.629273774465541,0.27083333333333315,0.7209302325581395,0.3571428571428575,0.27083333333333337,0.2549019607843137,0.7294117647058824,0.4626642679926474
50,160,1.0,1.5,1.0,5.0,0.084,8.4,12.5,1250.0,288.0,1.95,32.5,2.8875,0.295,23.0,0.5845484414696106,15.999999999999998,False,True,True,False,True,False,True,False,0.7926007129877153,0.6041666666666666,0.7209302325581395,0.3571428571428575,0.6041666666666667,0.6470588235294118,0.2964705882352941,0.599417571250642
51,160,1.0,1.5,1.0,10.0,0.084,8.4,22.5,2250.0,160.0,1.95,32.5,2.8875,0.295,23.0,0.5845484414696106,15.999999999999998,False,True,True,False,True,False,True,False,0.7926007129877153,0.6041666666666666,0.7209302325581395,0.3571428571428575,0.6041666666666667,0.6470588235294118,0.007843137254901962,0.5705548261526028
52,160,1.0,1.5,1.5,2.5,0.07497,7.497000000000001,8.0,800.0,450.0,2.9000000000000004,40.0,2.875,0.39,46.0,0.3105371799882742,25.02999999999999,False,False,True,False,False,False,True,False,0.675549740380157,0.208333333333333,0.6511627906976745,0.285714285714285,0.2083333333333333,0.19607843137254902,0.6617647058823529,0.42514517074743957
53,160,1.0,1.5,1.5,5.0,0.0882,8.820000000000002,13.0,1300.0,276.9230769230769,2.1,40.0,2.875,0.31,26.0,0.519360709400039,11.79999999999998,False,False,True,False,False,False,True,False,0.8470430258284403,0.5416666666666665,0.6511627906976745,0.285714285714285,0.5416666666666667,0.5882352941176471,0.2714932126696832,0.5682070290627533
54,160,1.0,1.5,1.5,10.0,0.0882,8.820000000000002,23.0,2300.0,156.52173913043478,2.1,40.0,2.875,0.31,26.0,0.519360709400039,11.79999999999998,False,False,True,False,False,False,True,False,0.8470430258284403,0.5416666666666665,0.6511627906976745,0.285714285714285,0.5416666666666667,0.5882352941176471,0.0,0.541057707795785
55,160,1.4,0.5,0.5,2.5,0.0228541224490695,2.2854122449069574,6.0,600.0,600.0,3.3999999999999995,29.999999999999996,2.825,0.44,56.0,0.1488372093023255,77.14587755093042,False,False,True,False,False,False,True,False,1.1102230246251565e-16,0.0,0.7441860465116279,0.0,0.0,0.0,1.0,0.17441860465116282
56,160,1.4,0.5,0.5,5.0,0.0268872028812583,2.688720288125832,11.0,1100.0,327.27272727272725,2.6,29.999999999999996,2.825,0.36,36.0,0.3576607387140903,73.11279711874168,False,False,True,False,False,False,True,False,0.05227862538119654,0.33333333333333315,0.7441860465116279,0.0,0.3333333333333334,0.39215686274509803,0.38502673796791437,0.26520662106776316
57,160,1.4,0.5,0.5,10.0,0.0268872028812583,2.688720288125832,21.0,2100.0,171.42857142857142,2.6,29.999999999999996,2.825,0.36,36.0,0.3576607387140903,73.11279711874168,False,False,True,False,False,False,True,False,0.05227862538119654,0.33333333333333315,0.7441860465116279,0.0,0.3333333333333334,0.39215686274509803,0.03361344537815123,0.23006529180878682
58,160,1.4,0.5,1.0,2.5,0.036715848415257,3.671584841525704,6.5,650.0,553.8461538461538,3.25,37.49999999999999,2.8375,0.425,53.0,0.1861179646277111,63.284151584742965,False,False,True,False,False,False,True,False,0.17968200513418475,0.06249999999999979,0.6744186046511628,0.07142857142856998,0.06250000000000006,0.058823529411764705,0.8959276018099547,0.23730176058511987
59,160,1.4,0.5,1.0,5.0,0.0431951157826553,4.319511578265535,11.5,1150.0,313.0434782608696,2.45,37.49999999999999,2.8375,0.345,33.0,0.394941494039476,56.80488421734464,False,False,True,False,False,False,True,False,0.2636692196567081,0.39583333333333315,0.6744186046511628,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.3529411764705883,0.3432156079563239
60,160,1.4,0.5,1.0,10.0,0.0431951157826553,4.319511578265535,21.5,2150.0,167.4418604651163,2.45,37.49999999999999,2.8375,0.345,33.0,0.394941494039476,56.80488421734464,False,False,True,False,False,False,True,False,0.2636692196567081,0.39583333333333315,0.6744186046511628,0.07142857142856998,0.3958333333333335,0.45098039215686275,0.024623803009575954,0.31038387061022266
